review_idx,true_label,dyslexic_word,top_suggestion,all_suggestions,intent_matched,rule_id,rule_description,context
6,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...singly short on laughs.<br /><br />I wanted to like this but I...
6,NEGATIVE, but,", but",", but",False,COMMA_COMPOUND_SENTENCE,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,... /><br />I wanted to like this but I just found it lackluster an...
6,NEGATIVE,lackluster,lacklustre,lacklustre,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...like this but I just found it lackluster and dull. Or maybe I expected...
8,POSITIVE,allways,always,always | hallways | allays | all ways,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...George Cukor is and allways will be one of my favorites. ...
8,POSITIVE,favorites,favourites,favourites,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake. ‘favorites’ is American English.,...and allways will be one of my favorites. The unsung hero of his gener...
8,POSITIVE,Cukor,Zukor,Zukor,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...s generation. Nobody mentions Cukor in the same breath as John Fo...
8,POSITIVE,nevr,near,near | never | Neva | NVR | NER,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...the service of his actors, he nevr put himslef ..."
8,POSITIVE,himslef,himself,himself,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ce of his actors, he nevr put himslef ..."
9,NEGATIVE,course,"course,","course,",False,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,A comma is probably missing here.,... not much to recommend it. Of course it will appeal to highbrows f...
9,NEGATIVE,Foxworthy,Fox worthy,Fox worthy,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ish accent (apologies to Jeff Foxworthy).<br /><br />The script is fu...
9,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...apologies to Jeff Foxworthy).<br /><br />The script is full of...
9,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ies to Jeff Foxworthy).<br /><br />The script is full of holes...
9,NEGATIVE,cliches,clichés,clichés,False,EN_DIACRITICS_REPLACE_ORTHOGRAPHY_CLICHES,"‘cliches’ is an imported foreign name or expression, which originally has a diacritic.","...written a book yet, or not?), cliches (relationship trouble: she wo..."
10,NEGATIVE,woz,won,won | oz | woo | woe | wow,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...nd car chases, but this movie woz very disappointing. There is ..."
10,NEGATIVE,thay,that,that | they | than | Thai | hay,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ving in Lisbon for years, and thay return to Paris for a friend'..."
10,NEGATIVE,freind,friend,friend,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ing. They announce to another freind they are having dinner with t...
10,NEGATIVE,thay,that,that | they | than | Thai | hay,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...y are having dinner with that thay are going to split. Then noth...
10,NEGATIVE,th,the,the | TH | Th | to | TT,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...e or not. I don't necessarily th...
11,POSITIVE,togeather,together,together,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...d his wife (Watson) are happy togeather. An accident near thier house...
11,POSITIVE,thier,their,their | tier | thief | trier | Thiel,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...y togeather. An accident near thier house on the night they have ...
11,POSITIVE,arund,around,around | Arun,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ave a party brings the police arund. It is a hit and run that kil...
11,POSITIVE,hit and run,hit-and-run,hit-and-run,False,EN_COMPOUNDS_HIT_AND_RUN,This word is normally spelled with a hyphen.,...ngs the police arund. It is a hit and run that killed their maid Maggie...
11,POSITIVE,a,an,an,True,EN_A_VS_AN,"Use “an” instead of ‘a’ if the following word starts with a vowel sound, e.g. ‘an article’, ‘an hour’.",.... James becomes suspicious of a n...
12,POSITIVE,Oyama,Obama,Obama | Osama | Toyama | Aoyama | Yama,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...In this film, he portrays Mas Oyama (1923-1994), a real martial a..."
12,POSITIVE, but,", but",", but",False,COMMA_COMPOUND_SENTENCE,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,...nly kills one bull in the film but it's a memorable scene and as...
12,POSITIVE,Zombi,Zombie,Zombie | Zomba,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...the zombie vs. shark scene in Zombi! The film also offers up load...
12,POSITIVE,up loads,uploads,uploads,False,UP_COMPOUNDS,This word is normally spelled as one. Did you mean “uploads”?,...n Zombi! The film also offers up loads of hand-to-hand combat and a ...
13,POSITIVE,Crispen,Crispin,Crispin | Crisper | Crisped,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...at film with an amazing cast. Crispen Glover is at his freakiest . ...
13,POSITIVE, .,.,.,True,COMMA_PARENTHESIS_WHITESPACE,Don’t put a space before the full stop.,...pen Glover is at his freakiest . His guitar solo is amazing. A...
14,NEGATIVE,writting,writing,writing | writhing | gritting | witting | fritting,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... adolescent humour, and empty writting. This film delivers exactly w..."
14,NEGATIVE,hmmm,Hamm,Hamm | MMM | hmm | hm mm,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... a house were a Baron de Sade(hmmm) once lived and finaly being ...
14,NEGATIVE,finaly,final,final | finally | finals | finale | finely,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... de Sade(hmmm) once lived and finaly being drawn to him through he...
14,NEGATIVE,sa,SA,SA | Sa | a | as | so,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... a pizza delivery boy, try to sa..."
15,POSITIVE,thier,their,their | tier | thief | trier | Thiel,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... for candidates regardless of thier party. Despite the difference...
15,POSITIVE,Fowlds,Folds,Folds | Fowls,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...orne, and veteran actor Derek Fowlds also returns to the scene as ..."
15,POSITIVE,insted,instead,instead | instep,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...rns to the scene as well. Now insted of pleasing some pepol, he ha..."
15,POSITIVE,pepol,pe pol,pe pol,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,".... Now insted of pleasing some pepol, he ha..."
16,NEGATIVE,it's,its,its,False,IT_IS,Did you mean “its” (possessive pronoun) instead of ‘it’s’ (short for ‘it is’)?,...owever it's just too dull for it's own good. All the characters ...
16,NEGATIVE,where,were,were,True,WERE_WHERE,Did you mean “were” (a form of the verb ‘to be’)?,"...ly real, and as a result they where extremely disturbing. It's we..."
16,NEGATIVE,well made,well-made,well-made,False,EN_COMPOUNDS_WELL_MADE,This word is normally spelled with a hyphen.,"...re extremely disturbing. It's well made and decently written, and it ..."
16,NEGATIVE,really interesting,fascinating,fascinating,False,EXTREME_ADJECTIVES,Consider using an extreme adjective for ‘interesting’.,"...y written, and it started out really interesting, but it just couldn't keep up..."
17,POSITIVE,All souls day,All Souls' Day,All Souls' Day,False,APOSTROPHE_IN_DAYS,Did you mean “All Souls' Day”?,"...y films (House of the dead 2, All souls day, etc.) but when you leave the..."
17,POSITIVE,vio,via,via | Rio | bio | CIO | VIP,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ood liking for this film. The vio...
18,NEGATIVE,hodge-podge,hodgepodge,hodgepodge,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...This film is a hodge-podge of various idiotic cliches. F...
18,NEGATIVE,cliches,clichés,clichés,False,EN_DIACRITICS_REPLACE_ORTHOGRAPHY_CLICHES,"‘cliches’ is an imported foreign name or expression, which originally has a diacritic.","...odge-podge of various idiotic cliches. For instance, boy-meets-spoi..."
18,NEGATIVE,ad nauseum,ad nauseam,ad nauseam,False,AD_NAUSEUM,Did you mean “ad nauseam”?,...predictable (having been used ad nauseum in several other films). As w...
18,NEGATIVE,fil,film,film | oil | file | fill | fit,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...h probably contributed to the fil...
19,POSITIVE,wich,with,with | which | rich | wish | witch,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...vintage, called Why We Fight, wich tries to examine the infamous..."
19,POSITIVE,in in,in,in,True,ENGLISH_WORD_REPEAT_RULE,Possible typo: you repeated a word.,"...sco we are currently involved in in Iraq. Yet, a far more famous ..."
19,POSITIVE,durring,during,during | purring | furring | burring,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... with the same name, was made durring Wurld War Two, by Hollywood d..."
19,POSITIVE,Wurld,World,World,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...e same name, was made durring Wurld War Two, by Hollywood directo..."
19,POSITIVE,Osca,Oscar,Oscar | OSHA | Tosca | Orca | Oscan,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...documentaries, and having won Osca..."
20,POSITIVE,becoz,become,become | below | Benz | bacon | beacon,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...series and I don't understand becoz she has been annulled. Please...
20,POSITIVE,marvelous,marvellous,marvellous,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake. ‘marvelous’ is American English.,"...on series, with excellent and marvelous actors, good recitation and g..."
20,POSITIVE,woud,would,would | word | wood | loud | wound,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ew episodes. I pray you!!!! I woud like if possible somehow to m...
20,POSITIVE,vrey,very,very | grey | prey | Frey | Urey,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... here in Italy this series is vrey liked, as in other ..."
21,NEGATIVE,thort,short,short | Thor | tort | thorn | Short,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...uizamo but man this is bad. I thort spawn woz the worst movie he ...
21,NEGATIVE,woz,won,won | oz | woo | woe | wow,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...an this is bad. I thort spawn woz the worst movie he had been i...
21,NEGATIVE,woz,won,won | oz | woo | woe | wow,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...t movie he had been in, but I woz wrong. I like all types of co..."
21,NEGATIVE,I,"Furthermore, I","Furthermore, I | Likewise, I | Not only that, but I",False,ENGLISH_WORD_REPEAT_BEGINNING_RULE,Three successive sentences begin with the same word. Consider rewording the sentence or use a thesaurus to find a synonym.,"...had been in, but I woz wrong. I like all types of comedy from..."
21,NEGATIVE,american,American,American | America | Americans | Americas | Americana,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...m stuff like Ace Ventura 2 to american werewolf in London. This is a...
21,NEGATIVE,trash,rubbish,rubbish,False,EN_GB_SIMPLE_REPLACE_TRASH,‘trash’ is a common American expression. Consider using expressions more common to British English.,...in London. This is a piece of trash....
22,NEGATIVE,thort,short,short | Thor | tort | thorn | Short,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...Yeah, what did I expect? I thort this would be a film about yo..."
22,NEGATIVE,Wuerzburg,Würzburg,Würzburg,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ith an ironic look on idyllic Wuerzburg. And what did I get?<br /><br...
22,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...uerzburg. And what did I get?<br /><br />Attention, spoilers a..."
22,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...rg. And what did I get?<br /><br />Attention, spoilers ahead!<..."
22,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... />Attention, spoilers ahead!<br /><br />This film starts with..."
22,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ention, spoilers ahead!<br /><br />This film starts with a len..."
22,NEGATIVE,forg,for,for | form | fort | frog | fog,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...t Moritz Bleibtreu might have forg...
23,NEGATIVE,dident,didn't,didn't,True,DIDENT,Did you mean “didn't”?,"... but whatever they thought of dident help this movie, it only hurt..."
23,NEGATIVE,mid sentence,mid-sentence,mid-sentence,False,EN_COMPOUNDS_MID_SENTENCE,This word is normally spelled with a hyphen.,... or people will be cut off in mid sentence. I'm not sure what the story ...
23,NEGATIVE,realy,real,real | ready | really | realm | relay,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... the story was, but it didn't realy matter, since what I did see ..."
23,NEGATIVE,woz,won,won | oz | woo | woe | wow,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... matter, since what I did see woz fairly uninter..."
23,NEGATIVE,uninter,uniter,uniter,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...nce what I did see woz fairly uninter...
24,POSITIVE,Slavin,Slain,Slain | Slaving | Spavin | Slavic | Flavin,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... Film Festival. Director Neal Slavin's impressive starring cast in...
24,POSITIVE,Aday,Day,Day | Away | Adam | ADAC | AAY,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...FF), Meat Loaf (AKA Meat Loaf Aday, AKA Michael Lee Aday), David..."
24,POSITIVE,Aday,Day,Day | Away | Adam | ADAC | AAY,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...at Loaf Aday, AKA Michael Lee Aday), David Paymer, and Laura Der..."
24,POSITIVE,Paymer,Payer,Payer | Palmer,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... AKA Michael Lee Aday), David Paymer, and Laura Dern (also starrin..."
24,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...lso at this year's Festival).<br /><br />Based on the Arthur M...
24,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... this year's Festival).<br /><br />Based on the Arthur Miller ...
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...this version falls far short.<br /><br />The casting is uninsp...
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ersion falls far short.<br /><br />The casting is uninspired a...
25,NEGATIVE,",so",", so",", so",False,COMMA_PARENTHESIS_WHITESPACE,Put a space after the comma.,"...director did not read the book,so did not understand the charac..."
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ot understand the characters.<br /><br />Sir Walter Elliot is ...
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...erstand the characters.<br /><br />Sir Walter Elliot is portra...
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...sion) is nowhere to be found.<br /><br />The Musgrove sisters ...
25,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...is nowhere to be found.<br /><br />The Musgrove sisters are so...
25,NEGATIVE,unlikable,unlikeable,unlikeable | unliable | unlickable,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,".../>The Musgrove sisters are so unlikable, one doesn't understand wh..."
25,NEGATIVE,wh,WH,WH | we | who | why | oh,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...kable, one doesn't understand wh..."
26,POSITIVE,favoirite,favourite,favourite,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...Love In Limbo is my all-time favoirite movie. (set in W.A) It is hil...
26,POSITIVE,A, A, A,True,SENTENCE_WHITESPACE,Add a space between sentences.,...me favoirite movie. (set in W.A) It is hilairious and has an ...
26,POSITIVE,hilairious,hilarious,hilarious,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ite movie. (set in W.A) It is hilairious and has an excellent cast inc...
26,POSITIVE,McJannet,Cannot,Cannot | Channel | Manner | Manned | Magnet,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...acial hair. Aden Young (Barry McJannet), and Craig Adams as Ken Ridd..."
26,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...nd Craig Adams as Ken Riddle.<br /><br />Ken is a senior high ...
26,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ig Adams as Ken Riddle.<br /><br />Ken is a senior high skool ...
26,POSITIVE,skool,school,school | schools | stool | spool | skol,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... /><br />Ken is a senior high skool student obsessed with sex and...
27,POSITIVE,woz,won,won | oz | woo | woe | wow,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...sed to watch this show when I woz growing up. When I think abou...
27,POSITIVE,remeber,remember,remember,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... up. When I think about it, I remeber it very well. If you ask me, ..."
27,POSITIVE,Befour,Befoul,Befoul | Be four,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...k so I can see every episode. Befour I wrap this up, I'd like to s..."
27,POSITIVE,remeber,remember,remember,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... like to say that I'll always remeber this show in my memory foreve...
28,POSITIVE,themeparks,theme parks,theme parks,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...xperience Disney has at their themeparks. This is certainly better tha...
28,POSITIVE,thier,their,their | tier | thief | trier | Thiel,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...This is certainly better than thier original 1960's acid-trip fil...
28,POSITIVE,1960's,1960s,1960s,False,APOSTROPHE_IN_DATES,Apostrophes aren’t needed for decades.,...ly better than thier original 1960's acid-trip film that was in it...
28,POSITIVE,it's,its,its,True,ABOUT_ITS_NN,Did you mean “its” (possessive pronoun) instead of ‘it’s’ (short for ‘it is’)?,"...'s acid-trip film that was in it's place, is leagues better than..."
28,POSITIVE,MuppetVision,Muppet Vision,Muppet Vision,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...e fun), barely squeaks by the MuppetVision 3-D movie at Disney-MGM and c..."
28,POSITIVE,th,the,the | TH | Th | to | TT,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...a smile to my face throughout th...
29,NEGATIVE,..,.,. | …,True,DOUBLE_PUNCTUATION,Two consecutive dots,...n a complete league of its own.. I don't think any movie could...
29,NEGATIVE,..,.,. | …,True,DOUBLE_PUNCTUATION,Two consecutive dots,...irector intended to make it as.. a thriller or a comedy. If he...
29,NEGATIVE,a,A,A,True,UPPERCASE_SENTENCE_START,This sentence does not start with an uppercase letter.,...ctor intended to make it as.. a thriller or a comedy. If he d...
29,NEGATIVE,bollywood,Bollywood,Bollywood | Hollywood | Bellwood,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...luck, created one of the best bollywood comedies of all time. You hav..."
29,NEGATIVE,beleive,believe,believe,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...l time. You have to see it to beleive it.. a matrix + terminator + ...
29,NEGATIVE,..,.,. | …,True,DOUBLE_PUNCTUATION,Two consecutive dots,...u have to see it to beleive it.. a matrix + terminator + a ...
29,NEGATIVE,a,A,A,True,UPPERCASE_SENTENCE_START,This sentence does not start with an uppercase letter.,...ave to see it to beleive it.. a matrix + terminator + a ...
30,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,... be free to marry Ruth Roman.<br /><br />So when they meet as ...
30,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ee to marry Ruth Roman.<br /><br />So when they meet as comple...
31,POSITIVE,However,"However,","However,",False,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,A comma may be missing after the conjunctive/linking adverb ‘However’.,...inspiration to this THURSDAY. However for a low cost B-Series movie...
31,POSITIVE, and,", and",", and",False,COMMA_COMPOUND_SENTENCE,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,...sters is captivating and funny and it also has a bit of dark hum...
