text,label,text_dyslexic,orig_sentiment_label,dys_sentiment_label,orig_sentiment_score,dys_sentiment_score,score_delta,label_flipped
"This was very funny, even if it fell apart a little at the end. Does not go overboard with homage after to Hitchcock - Owen (Danny DeVito) was lucky he had ""Strangers on A Train"" playing at the local cinema, so the movie flat out tells you that that was the inspiration. <br /><br />DeVito is very funny but also a little sad. He has no friends and all he wants to do is write and have someone like his writing. His teacher, Billy Crystal, is going through some serious writers block of his own and his wife has stolen his book and made it her own success, which also has him frustrated a great deal.<br /><br />Best parts are the book proposal by Mr. Pinsky (""One Hundred Girls I'd Like to Pork"") and all scenes with Anne Ramsey, who is so horrible that even Mother Theresa would have wanted to kill her, too!",1,"This was vrey funny, even if it fell apart a little at the end. Does not go overboard with homage after to Hitchcock - Owen (Danny DeVito) was lucky he had ""Strangers on A Train"" playing at the local cinema, so the movie flat out tells you that that was the inspiration. <br /><br />DeVito is vrey funny but also a little sad. He has no friends and all he wants to do is write and have sumone like his writting. His teacher, Billy Crystal, is going through some serious writers block of his own and his wife has stolen his book and made it her own success, which also has him frustrated a great deal.<br /><br />Best parts are the book proposal by Mr. Pinsky (""One Hunderd Girls I'd Like to Pork"") and all scenes with Anne Ramsey, who is so horrible that even Muther Theresa would hav wanted to kill her, too!",positive,neutral,0.499234,0.438849,0.06038500000000002,True
"SPOILER!!!! Mind Ripper hmmmm.... I had just watched the nightmare on elm street movies and had just found out about Giovanni Ribisi. I thought Giovanni Ribisi hadnt done any horrors so I checked into it. I saw ""the outpost"" (mind ripper) I checked on my Tivo for it. There was an air date on Sci Fi. So I was set. I got my pop corn ready came in and set on the couch and what the hell is this? A freakin bold guy in blue sweat pants running around yelling! Nothing is scary about this movie at all! If anything its funny! Funny how low the budget is, funny how predictable it is, funny how bad the acting is and funny how much money it DIDNT make. Ok giovanni ribisi is a good actor but this movie is dumb. It is so stupid. They killed him at the end and then they go on this plane and the ""monster"" is on it. They shoot him in the head with a shotgun and it falls a long way to the ground. And<br /><br />-GASP- The killer ending, Its Still Alive! WOOHHH! Scary! woooohhhh! Sucky fat sack of crap waste of 2 hours.<br /><br />Bottom Line: You have somewhere to go and you need to kill some time. Mind ripper isnt the suggestion. I'd rather sit out naked in the snow than watch this movie a second time.<br /><br />OVERALL GRADE: F- - - - - - - - - - (ENTERNAL)",0,"SPOILER!!!! Mind Ripper hmmmm.... I had just watched the nightmare on elm street movies and had just found out about Giovanni Ribisi. I thought Giovanni Ribisi hadnt done any horrors so I checked into it. I saw ""the outpost"" (mind ripper) I checked on my Tivo for it. There was an air date on Sci Fi. So I was set. I got my pop corn ready came in and set on the couch and what the hell is this? A freakin bold guy in blue sweat pants running around yelling! Nothink is scary about this movie at all! If anything its funny! Funny how low the budget is, funny how predictable it is, funny how bad the acting is and funny how much muney it DIDNT make. Ok giovanni ribisi is a good actor but this movie is dumb. It is so stupid. They killed him at the end and then they go on this plane and the ""monster"" is on it. They shoot him in the head with a shotgun and it falls a long way to the ground. And<br /><br />-GASP- The killer ending, Its Still Alive! WOOHHH! Scary! woooohhhh! Sucky fat sack of crap waste of 2 hours.<br /><br />Bottom Line: You have somewhere to go and you need to kill some time. Mind ripper isnt the suggestion. I'd rather sit out naked in the snow then watch this movie a second time.<br /><br />OVERALL GRADE: F- - - - - - - - - - (ENTERNAL)",neutral,neutral,0.594313,0.609362,-0.015048999999999979,False
"Some folkie friends recommended this, but as a film it's really lacking in originality. I found the characters to be unflattering stereotypes, and the plot is predictable almost from the beginning. However, if you like traditional English/Appalachian ballads, it will keep your interest long enough to hear the next one. I've also read that the soundtrack is nothing like the music in the movie, with professional musicians filling in for the actors.",0,"Some folkie friends recommended this, but as a film it's really lacking in originality. I found the characters to be unflattering stereotypes, and the plot is predictable almost from the beginning. However, if you like traditional English/Appalachian ballads, it will keep your interest long enough to hear the next one. I've also read that the soundtrack is nothink like the music in the movie, with professional musicians filling in for the actors.",negative,negative,0.736314,0.738874,-0.0025600000000000067,False
"From 1950 comes a neat thriller about a couple smuggling diamonds from abroad and also the contagious disease smallpox. Evelyn Keyes pulls out all stops as the essential victim of this film-noir. Once back in the United States she is not aware that she could be spreading the disease on everyone and everything she comes in contact with. Eventually she is pursued and must be stopped before an epidemic occurs. Other than Keyes striking performance there is good support from villainous Charles Korvin, William Bishop, Dorothy Malone, Lola Albright and Whit Bissell. The finale is a humdinger with Miss Keyes on the ledge of a building with spotlights and hundreds of spectators below. A good B flick!",1,"From 1950 comes a neat thriller abowt a couple smuggling diamonds from abroad and also the contagious disease smallpox. Evelyn Keyes pulls out all stops as the essential victim of this film-noir. Once back in the United States she is not aware that she could be spreading the disease on everyone and everything she comes in contact with. Eventually she is pursued and must be stopped before an epidemic occurs. Uther than Keyes striking performance there is good support from villainous Charles Korvin, William Bishop, Dorothy Malone, Lola Albright and Whit Bissell. The finale is a humdinger with Miss Keyes on the ledge of a building with spotlights and hundreds of spectators below. A good B flick!",neutral,neutral,0.716524,0.728053,-0.0115289999999999,False
"I cannot believe I actually sat through the whole of this movie! It was absolutely awful, and totally cringe-worthy, and yet I sat through it thinking it had to get better. It didn't, and I have wasted 2 hours of my life. Will Smith is much better in action movies - I loved him in I, Robot, Enemy of the State and Independence Day - and I don't think he can really be expected to carry off an entire movie as the romantic lead in the way that Cary Grant could. Then again, the script was unbearably awful, and the dialogue was so cheesy. <br /><br />I disliked everyone except for Albert's character, and even that I found was done with a heavy hand. If you want to watch a modern feel-good romantic comedy, watch something like How To Lose A Guy In Ten Days, or When Harry Met Sally. The 40 Year Old Virgin left me with a smile on my face. I even preferred Music and Lyrics above this - and yes, I know it's cheesy, but at least it didn't take itself seriously, and was sweet. I also disliked the main female lead - and wasn't convinced of the chemistry between her and Will Smith's character. <br /><br />In all, I think there were two scenes that I liked (and definitely not the ending, which was nauseating and unconvincing!) - Hitch calling Sarah when she hadn't given him her number was quite sweet, and - no, sorry, that's the only thing I liked about the entire film. Don't waste your time.",0,"I cannot believe I actually sat thru the whole of this movie! It was absolutely awful, and totally cringe-worthy, and yet I sat through it thinking it had to get better. It didn't, and I have wasted 2 hours of my life. Will Smith is much better in action movies - I loved him in I, Robot, Enemy of the State and Independence Day - and I don't think he can realy be expected to carry off an entire movie as the romantic lead in the way that Cary Grant coud. Than again, the script was unbearably awful, and the dialogue was so cheesy. <br /><br />I disliked everyone except for Albert's character, and even that I found woz done with a heavy hand. If you want to watch a modern feel-good romantic comedy, watch something like How To Lose A Guy In Ten Days, or When Harry Met Sally. The 40 Year Old Virgin left me with a smile on my face. I even preferred Music and Lyrics above this - and yes, I know it's cheesy, but at least it didn't take itself seriously, and was sweet. I also disliked the main female lead - and wasn't convinced of the chemistry between her and Will Smith's character. <br /><br />In all, I think there were two scenes that I liked (and definitely not the ending, wich was nauseating and unconvincing!) - Hitch calling Sarah when she hadn't given him her number was kwite sweet, and - no, sorry, that's the only thing I liked about the entire film. Don't waste your time.",negative,negative,0.814693,0.82612,-0.011426999999999965,False
"The movie was very good. I'm an avid mystery fan and I usually figure out who is going to be killed and who did the killing. While I did figure out who was going to be killed I didn't figure out who did it. I wasn't happy with the portrayal of the Gerda character but given the year the movie was supposed to take place it is possible the woman would have been that 'cloying'. Please know that while these Poirot movies are good, they just don't have the same dynamic to them as the series does because they don't have Japp, Ms. Lemon and especially Hastings! David Suchet is definitely Poirot. I have seen every actor who's played him. The worst was Peter Ustinov!",1,"The movie was very good. I'm an avid mystery fan and I usually figure out who is going to be killed and who did the killing. While I did figure out who was going to be killed I dident figure out who did it. I wasn't happy with the portrayal of the Gerda character but given the year the movie woz supposed to take place it is possible the woman would have been that 'cloying'. Please know that while these Poirot movies are good, they just don't hav the same dynamic to them as the series does becoz they don't have Japp, Ms. Lemon and especially Hastings! David Suchet is definitely Poirot. I have seen every actor who's played him. The worst was Peter Ustinov!",positive,positive,0.431575,0.43392,-0.002344999999999986,False
"Hitchcock would be proud of this movie. Even when nothing happens, it is suspenseful. Director David Lynch overuses a few cheap thrill tricks here and there, but he intersperses them with other cinematographic techniques to keep it from becoming obtuse.<br /><br />Altogether surreal, this movie is like waking up and remembering most of a dream but not enough to make it sensible. I am still trying to figure it all out and will probably have to see it again to catch things I missed and which may help me understand it better. It is a very detailed plot that very slowly comes together, so you must be patient and pay attention. Get your bathroom trip out of the way before it starts. And yet, the plot is overshadowed by the theme, the mood, the character development, and the filming techniques.<br /><br />The dual roles of the main actress, Naomi Watts, showcase her enormous talent. That is, when I could get my eyes off of her co-star. What an acting pair.<br /><br />Lynch surprises throughout the movie with unusual camera angles, the length/timing of editing cuts, jumping back and forth between scenes. Combined with smart use of music and sounds, it all helps to build suspense in our minds, doubtless a major objective of the director. Well, he kept me on the edge of my seat, even had me talking to the actors to be careful here, and not be so naive there. You know, the kind of stuff you want to smack your kids for doing at the movies.",1,"Hitchcock woud be proud of this movie. Even when nothink happens, it is suspenseful. Director David Lynch overuses a few cheap thrill tricks here and thier, but he intersperses them with other cinematographic techniques to keep it from becoming obtuse.<br /><br />Altogether surreal, this movie is like waking up and remembering most of a dream but not enough to make it sensible. I am still trying to figure it all out and will probably have to see it agen to catch things I missed and which may help me understand it better. It is a very detailed plot that very slowly comes together, so you must be patient and pay attention. Get your bathroom trip out of the way before it starts. And yet, the plot is overshadowed by the theme, the mood, the character development, and the filming techniques.<br /><br />The dual roles of the main actress, Naomi Watts, showcase her enormous talent. That is, when I coud get my eyes off of her co-star. What an acting pair.<br /><br />Lynch surprises throughout the movie with unusual camera angles, the length/timing of editing cuts, jumping back and forth between scenes. Combined with smart use of music and sounds, it all helps to build suspense in our minds, doubtless a major objective of the director. Well, he kept me on the edge of my seat, even had me talking to the actors to be careful here, and not be so naive there. You know, the kind of stuff you want to smack your kids for doing at the movies.",positive,positive,0.727567,0.716961,0.010606000000000004,False
"OK. So it can be done! We have here the perfect vampire movie. Gothic, beautiful. With all the ingredients. A realistic vampire. A wonderful story. Take note - I am from Transylvania and I assure you, this movie respects the vampire lore! It's exactly like the tales I heard in my childhood. For a transylvanian, it is quite... believable. You must see it, if you are interested by real vampires, as they were depicted in medieval chronicles and not how are they done in recent Hollywood movies (as far as I can guess, the Hollywood problem is they mix vampires with the incubus - which is pretty hilarious for me. Vampires are never good-looking or attractive, they can inspire only horror and repulsion. The incubus - called in my country The Night Flier, is the one beautiful demon which kills his victims by loving them.) I strongly recommend this for any Gothic person out there! See also the sequels, they are all 4 very good! And of course, don't miss DArk shadows! Something similar is Nosferatu In Venice with Klaus Kinski. I recommend that one to.",1,"OK. So it can be done! We have here the perfect vampire movie. Gothic, beautiful. With all the ingredients. A realistic vampire. A wonderful story. Take note - I am from Transylvania and I assure you, this movie respects the vampire lore! It's exactly like the tales I heard in my childhood. For a transylvanian, it is quite... believable. You must see it, if you are interested by real vampires, as they were depicted in medieval chronicles and not how are they done in recent Hollywood movies (as far as I can guess, the Hollywood problem is they mix vampires with the incubus - wich is pretty hilarious for me. Vampires are never good-looking or attractive, they can inspire only horror and repulsion. The incubus - called in my country The Night Flier, is the one beautiful demon wich kills his victims by loving them.) I strongly recommend this for any Gothic person out there! See also the sequels, they are all 4 very good! And of course, don't miss DArk shadows! Something similar is Nosferatu In Venice with Klaus Kinski. I recommend that one to.",positive,positive,0.952336,0.950415,0.0019209999999999505,False
"Licence fees to watch this trash, And pay for it with hard-earned cash? Humourless, no hint of laughter, God knows how it won a BAFTA! <br /><br />We've now been subjected to ""Eastenders"" for twenty years. When, oh when is the Great British public going to see this awful soap for what it is? Crass Pap! This programme no more depicts reality in the East End of London than everyday life in Beirut, and never has done.<br /><br />The Eastenders I know (the real ones) are kind, courageous, hardworking and loyal. And one of their greatest attributes is humour. It was the Eastenders who went through the worst of the London blitz and still stuck two fingers up to Hitler. And what do we see on our screens for five days of the week (including an omnibus)? Nothing but a bunch of moaning, wailing, ""dead from the neck up"" wimps, who seem to do little else than sit in a pub all day sniping at each other. What a great advert for Britain that is!! Do the writers actually believe this garbage they're pumping out? Obviously the woolly-minded section of the public does, but then I've heard that apparently anyone can be brainwashed into believing anything.",0,"Licence fees to watch this trash, And pay for it with hard-earned cash? Humourless, no hint of laughter, God knows how it won a BAFTA! <br /><br />We've now been subjected to ""Eastenders"" for twenty years. When, oh when is the Great British public going to see this awful soap for what it is? Crass Pap! This programme no more depicts reality in the East End of London then everyday life in Beirut, and nevr has done.<br /><br />The Eastenders I know (the real ones) are kind, courageous, hardworking and loyal. And one of thier greatest attributes is humour. It was the Eastenders who went through the worst of the London blitz and still stuck two fingers up to Hitler. And what do we see on our screens for five days of the week (including an omnibus)? Nothing but a bunch of moaning, wailing, ""dead from the neck up"" wimps, who seem to do little else than sit in a pub all day sniping at each other. What a great advert for Britain that is!! Do the writers actually believe this garbage they're pumping out? Obviously the woolly-minded section of the public does, but then I've heard that apparently anyone can be brainwashed into believing anything.",negative,negative,0.88563,0.886671,-0.0010409999999999586,False
"Hadn't really heard too much about this movie so I went and saw it. I realized that this movie only appeals to someone who has not lived in the real world. And even those people would think this movie moved too slowly.<br /><br />When the movie opens up, you see Nicole Kidman going to a nudist camp. Whoa. Shock. That scene, the dialouge, were all great. And then the movie went downhill.<br /><br />While I respect the vision the filmmaker must have, this movie sucked. It was too slow, too predictable, and not moving enough. Robert Downey Jr. is great, as usual, but this movie is not good enough to sit through. It tries to be shocking and abnormal but makes poor use of the talents of all the actors.<br /><br />Don't waste your money, even the sex scenes were boring.",0,"Hadn't realy heard too much abowt this movie so I went and saw it. I realized that this movie only appeals to someone who has not lived in the real world. And even those pepol would think this movie moved too slowly.<br /><br />When the movie opens up, you see Nicole Kidman going to a nudist camp. Whoa. Shock. That scene, the dialouge, were all great. And then the movie went downhill.<br /><br />While I respect the vision the filmmaker must have, this movie sucked. It was too slow, too predictable, and not moving enough. Robert Downey Jr. is great, as usual, but this movie is not good enough to sit through. It tries to be shocking and abnormal but makes poor use of the talents of all the actors.<br /><br />Don't waste your money, even the sex scenes where boring.",negative,negative,0.594261,0.648981,-0.05471999999999999,False
